Date,Open,High,Low,Close,Volume,Adj Close
2016-02-19,71.80,72.80,70.10,72.25,1749400,72.25
2016-02-18,71.35,73.30,69.60,71.40,2484200,71.40
2016-02-17,70.50,71.80,68.60,70.50,2366300,70.50
2016-02-16,74.00,74.10,70.20,71.10,2370600,71.10
2016-02-15,72.15,75.95,72.10,73.70,2771500,73.70
2016-02-12,71.90,73.15,67.40,70.80,3738200,70.80
2016-02-11,76.05,78.10,70.25,71.65,3849800,71.65
2016-02-10,80.80,81.75,75.30,77.75,6416500,77.75
2016-02-09,81.50,82.40,79.60,81.50,2650400,81.50
2016-02-08,84.15,85.55,82.10,82.40,2476700,82.40
2016-02-05,83.75,84.90,81.65,84.10,2954300,84.10
2016-02-04,84.00,85.45,79.30,82.20,3032900,82.20
2016-02-03,85.35,85.80,82.60,83.70,2963500,83.70
2016-02-02,91.40,93.00,86.50,87.10,3392100,87.10
2016-02-01,94.30,94.55,90.50,91.15,2762400,91.15
2016-01-29,88.00,94.65,87.40,93.85,3662300,93.85
2016-01-28,88.75,91.25,85.50,89.90,3785600,89.90
2016-01-27,88.00,89.65,87.10,88.45,2016400,88.45
2016-01-26,87.15,87.15,87.15,87.15,000,87.15
2016-01-25,88.65,91.20,86.75,87.15,3191400,87.15
2016-01-22,85.00,88.50,84.50,87.85,3924900,87.85
2016-01-21,82.00,84.95,81.55,83.55,4540600,83.55
2016-01-20,81.20,81.90,78.40,80.25,3768700,80.25
2016-01-19,83.25,85.40,80.65,83.55,2996800,83.55
2016-01-18,88.40,88.50,80.00,81.30,5759300,81.30
2016-01-15,98.60,98.60,85.10,87.55,5489200,87.55
2016-01-14,93.50,100.00,92.10,97.45,5735900,97.45
2016-01-13,99.05,100.60,90.75,96.00,6939400,96.00
2016-01-12,98.90,101.20,96.50,98.05,2490600,98.05
2016-01-11,98.70,101.90,95.70,99.55,4794100,99.55
2016-01-08,94.50,101.40,93.85,100.20,6335700,100.20
2016-01-07,95.65,96.80,91.65,92.70,3759500,92.70
2016-01-06,101.50,102.00,96.15,97.80,2977500,97.80
2016-01-05,96.00,102.70,94.10,101.60,5604100,101.60
2016-01-04,98.00,98.40,94.45,95.70,3204600,95.70
2016-01-01,97.45,101.70,95.90,99.25,6306900,99.25
2015-12-31,91.45,97.50,91.00,96.85,8370500,96.85
2015-12-30,91.00,94.00,90.00,90.85,5817400,90.85
2015-12-29,88.00,91.20,86.25,90.65,5106000,90.65
2015-12-28,85.50,88.00,85.10,87.35,2500700,87.35
2015-12-25,85.15,85.15,85.15,85.15,000,85.15
2015-12-24,85.80,86.10,84.10,85.15,1380300,85.15
2015-12-23,85.65,87.30,84.15,85.60,2205900,85.60
2015-12-22,88.35,88.70,84.50,85.30,1683400,85.30
2015-12-21,87.50,90.00,87.50,88.00,2682000,88.00
2015-12-18,87.40,89.50,86.60,88.70,2082500,88.70
2015-12-17,84.80,87.90,84.80,87.40,2072300,87.40
2015-12-16,85.80,86.25,84.00,84.45,2293300,84.45
